Timestamp,Twist Linear,Twist Angular
"1609852686,800867670","x: -0.00987745494887
y: 0.0227290910742
z: -0.000103738471807","x: 0.0
y: 0.0
z: 0.0"
"1609852687,42215987","x: -0.0323167369451
y: -0.0123226083299
z: 0.0434377938509","x: 0.0
y: 0.0
z: 0.0"
"1609852687,201498024","x: -0.0168201027863
y: -0.0623040659512
z: 0.0607957541943","x: 0.0
y: 0.0
z: 0.0"
"1609852687,426806822","x: 0.0102431372487
y: -0.058154690419
z: 0.0450851880014","x: 0.0
y: 0.0
z: 0.0"
"1609852687,607937336","x: 0.0109564748152
y: -0.0143125391914
z: -0.00012243737001","x: 0.0
y: 0.0
z: 0.0"
"1609852687,814934576","x: 0.00248298208126
y: 0.0400567041331
z: -0.00672774203122","x: 0.0
y: 0.0
z: 0.0"
"1609852688,52250169","x: -0.00324338170533
y: 0.0359159067093
z: 0.0198322013021","x: 0.0
y: 0.0
z: 0.0"
"1609852688,211252237","x: -0.000478167694268
y: 0.0387704413984
z: 0.00840238295496","x: 0.0
y: 0.0
z: 0.0"
"1609852688,436392426","x: -0.00802430024947
y: 0.0505636278615
z: 0.0361531376839","x: 0.0
y: 0.0
z: 0.0"
"1609852688,617736427","x: -0.0150165252885
y: 0.0437585945438
z: 0.0539713986218","x: 0.0
y: 0.0
z: 0.0"
"1609852688,822918760","x: -0.00483173005026
y: 0.0197610056732
z: 0.0413358435035","x: 0.0
y: 0.0
z: 0.0"
"1609852689,53411230","x: -0.00788720938917
y: -0.0144207180424
z: -0.00914585776627","x: 0.0
y: 0.0
z: 0.0"
"1609852689,209664772","x: -0.00334611305306
y: -0.00534466224259
z: 0.0282468684018","x: 0.0
y: 0.0
z: 0.0"
"1609852689,432046136","x: 0.00413335879219
y: 0.0143373424775
z: 0.0162014104426","x: 0.0
y: 0.0
z: 0.0"
"1609852689,620546861","x: 0.00301355790338
y: 0.0203020994164
z: 0.000152315653395","x: 0.0
y: 0.0
z: 0.0"
"1609852689,812946210","x: -0.000838516943555
y: -0.00559652775831
z: 0.0373922474682","x: 0.0
y: 0.0
z: 0.0"
"1609852690,55507168","x: 0.00159043791156
y: -0.0206486355344
z: 0.0246316883713","x: 0.0
y: 0.0
z: 0.0"
"1609852690,209491138","x: 0.013556753375
y: -0.0566512164756
z: -0.00483547663316","x: 0.0
y: 0.0
z: 0.0"
"1609852690,434766031","x: 0.00660717697299
y: -0.0533212607169
z: 0.0164773128927","x: 0.0
y: 0.0
z: 0.0"
"1609852690,612664002","x: -0.00363055505924
y: -0.0554306264984
z: 0.0566544793546","x: 0.0
y: 0.0
z: 0.0"
"1609852690,812624097","x: -0.00887952803372
y: -0.0675639333239
z: 0.0418215580285","x: 0.0
y: 0.0
z: 0.0"
"1609852691,61836221","x: -0.0288870466797
y: -0.0381393299093
z: 0.0256173685193","x: 0.0
y: 0.0
z: 0.0"
"1609852691,226005277","x: -0.0352609085705
y: -0.0123199574693
z: 0.0581869967282","x: 0.0
y: 0.0
z: 0.0"
"1609852691,446017933","x: -0.0209394237761
y: -0.0131578440523
z: 0.0743106007576","x: 0.0
y: 0.0
z: 0.0"
"1609852691,621642762","x: 0.00601601331654
y: 0.011772267984
z: 0.0583357997239","x: 0.0
y: 0.0
z: 0.0"
"1609852691,821719753","x: 0.0372663563619
y: 0.0112221907797
z: 0.0495744869113","x: 0.0
y: 0.0
z: 0.0"
"1609852692,68284033","x: 0.0279263776301
y: -0.00436742737089
z: 0.0309011749923","x: 0.0
y: 0.0
z: 0.0"
"1609852692,227755907","x: 0.0163195598008
y: 0.0135991824601
z: 0.0171812362969","x: 0.0
y: 0.0
z: 0.0"
"1609852692,447136502","x: 0.0106939928333
y: 0.0215827235275
z: 0.00900905951858","x: 0.0
y: 0.0
z: 0.0"
"1609852692,654192831","x: 0.0211953160382
y: 0.0390152999895
z: -0.00186159554869","x: 0.0
y: 0.0
z: 0.0"
"1609852692,829328301","x: 0.0217128449945
y: 0.0684843412026
z: 0.0202444028109","x: 0.0
y: 0.0
z: 0.0"
"1609852693,70080689","x: 0.0150578367936
y: 0.0546030758798
z: 0.0161150880158","x: 0.0
y: 0.0
z: 0.0"
"1609852693,233830821","x: -0.00723447911952
y: 0.0266032869376
z: 0.0233914908022","x: 0.0
y: 0.0
z: 0.0"
"1609852693,470042163","x: -0.0180782690478
y: 0.0287919347667
z: 0.0167587157339","x: 0.0
y: 0.0
z: 0.0"
"1609852693,639805777","x: -0.0212069208466
y: 0.0208653777977
z: 0.0438068658113","x: 0.0
y: 0.0
z: 0.0"
"1609852693,828720066","x: -0.0111278091112
y: 0.000476251426683
z: 0.0255239531398","x: 0.0
y: 0.0
z: 0.0"
"1609852694,73902502","x: 0.00648147479909
y: -0.0536644018984
z: 0.0143381068483","x: 0.0
y: 0.0
z: 0.0"
"1609852694,232959324","x: 0.0157225739042
y: -0.0675967138221
z: 0.0506001412868","x: 0.0
y: 0.0
z: 0.0"
"1609852694,452504881","x: 0.0104670092025
y: -0.0676633286991
z: 0.0315790548921","x: 0.0
y: 0.0
z: 0.0"
"1609852694,642281712","x: 0.0130707970814
y: -0.060703413926
z: -0.0140073252842","x: 0.0
y: 0.0
z: 0.0"
"1609852694,839263566","x: -0.000685385226505
y: 0.0156609391218
z: 0.0629620552063","x: 0.0
y: 0.0
z: 0.0"
"1609852695,77921614","x: -0.0266447324507
y: 0.0733503568174
z: 0.0119931930676","x: 0.0
y: 0.0
z: 0.0"
